,id,job_title,location,connection,fit
0,1,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
1,2,native english teacher at epik english program in korea,kanada,500+ ,
2,3,aspiring human resources professional,raleigh-durham north carolina area,44,
3,4,people development coordinator at ryan,denton texas,500+ ,
4,5,advisory board member at celal bayar university,i̇zmir türkiye,500+ ,
5,6,aspiring human resources specialist,greater new york city area,1,
6,7,student at humber college and aspiring human resources generalist,kanada,61,
7,8,hr senior specialist,san francisco bay area,500+ ,
8,9,student at humber college and aspiring human resources generalist,kanada,61,
9,10,seeking human resources hris and generalist positions,greater philadelphia area,500+ ,
10,11,student at chapman university,lake forest california,2,
11,12,svp chro marketing & communications csr officer  engie  houston  the woodlands  energy  gphr  sphr,houston texas area,500+ ,
12,13,human resources coordinator at intercontinental buckhead atlanta,atlanta georgia,500+ ,
13,14,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
14,15,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
15,16,native english teacher at epik english program in korea,kanada,500+ ,
16,17,aspiring human resources professional,raleigh-durham north carolina area,44,
17,18,people development coordinator at ryan,denton texas,500+ ,
18,19,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
19,20,native english teacher at epik english program in korea,kanada,500+ ,
20,21,aspiring human resources professional,raleigh-durham north carolina area,44,
21,22,people development coordinator at ryan,denton texas,500+ ,
22,23,advisory board member at celal bayar university,i̇zmir türkiye,500+ ,
23,24,aspiring human resources specialist,greater new york city area,1,
24,25,student at humber college and aspiring human resources generalist,kanada,61,
25,26,hr senior specialist,san francisco bay area,500+ ,
26,27,aspiring human resources management student seeking an internship,houston texas area,500+ ,
27,28,seeking human resources opportunities,chicago illinois,390,
28,29,aspiring human resources management student seeking an internship,houston texas area,500+ ,
29,30,seeking human resources opportunities,chicago illinois,390,
30,31,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
31,32,native english teacher at epik english program in korea,kanada,500+ ,
32,33,aspiring human resources professional,raleigh-durham north carolina area,44,
33,34,people development coordinator at ryan,denton texas,500+ ,
34,35,advisory board member at celal bayar university,i̇zmir türkiye,500+ ,
35,36,aspiring human resources specialist,greater new york city area,1,
36,37,student at humber college and aspiring human resources generalist,kanada,61,
37,38,hr senior specialist,san francisco bay area,500+ ,
38,39,student at humber college and aspiring human resources generalist,kanada,61,
39,40,seeking human resources hris and generalist positions,greater philadelphia area,500+ ,
40,41,student at chapman university,lake forest california,2,
41,42,svp chro marketing & communications csr officer  engie  houston  the woodlands  energy  gphr  sphr,houston texas area,500+ ,
42,43,human resources coordinator at intercontinental buckhead atlanta,atlanta georgia,500+ ,
43,44,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
44,45,native english teacher at epik english program in korea,kanada,500+ ,
45,46,aspiring human resources professional,raleigh-durham north carolina area,44,
46,47,people development coordinator at ryan,denton texas,500+ ,
47,48,advisory board member at celal bayar university,i̇zmir türkiye,500+ ,
48,49,aspiring human resources specialist,greater new york city area,1,
49,50,student at humber college and aspiring human resources generalist,kanada,61,
50,51,hr senior specialist,san francisco bay area,500+ ,
51,52,student at humber college and aspiring human resources generalist,kanada,61,
52,53,seeking human resources hris and generalist positions,greater philadelphia area,500+ ,
53,54,student at chapman university,lake forest california,2,
54,55,svp chro marketing & communications csr officer  engie  houston  the woodlands  energy  gphr  sphr,houston texas area,500+ ,
55,56,human resources coordinator at intercontinental buckhead atlanta,atlanta georgia,500+ ,
56,57,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
57,58,aspiring human resources professional,raleigh-durham north carolina area,44,
58,59,people development coordinator at ryan,denton texas,500+ ,
59,60,aspiring human resources specialist,greater new york city area,1,
60,61,hr senior specialist,san francisco bay area,500+ ,
61,62,seeking human resources hris and generalist positions,greater philadelphia area,500+ ,
62,63,student at chapman university,lake forest california,2,
63,64,svp chro marketing & communications csr officer  engie  houston  the woodlands  energy  gphr  sphr,houston texas area,500+ ,
64,65,human resources coordinator at intercontinental buckhead atlanta,atlanta georgia,500+ ,
65,66,experienced retail manager and aspiring human resources professional,austin texas area,57,
66,67,human resources staffing and recruiting professional,jackson mississippi area,500+ ,
67,68,human resources specialist at luxottica,greater new york city area,500+ ,
68,69,director of human resources north america groupe beneteau,greater grand rapids michigan area,500+ ,
69,70,retired army national guard recruiter office manager  seeking a position in human resources,virginia beach virginia,82,
70,71,human resources generalist at scottmadden inc,raleigh-durham north carolina area,500+ ,
71,72,business management major and aspiring human resources manager,monroe louisiana area,5,
72,73,aspiring human resources manager seeking internship in human resources,houston texas area,7,
73,74,human resources professional,greater boston area,16,
74,75,nortia staffing is seeking human resources payroll & administrative professionals  408 709-2621,san jose california,500+ ,
75,76,aspiring human resources professional  passionate about helping to create an inclusive and engaging work environment,new york new york,212,
