id,job_title,location,connection,fit
1,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
2,native english teacher at epik english program in korea,kanada,500+ ,
3,aspiring human resources professional,raleigh-durham north carolina area,44,
4,people development coordinator at ryan,denton texas,500+ ,
5,advisory board member at celal bayar university,i̇zmir türkiye,500+ ,
6,aspiring human resources specialist,greater new york city area,1,
7,student at humber college and aspiring human resources generalist,kanada,61,
8,hr senior specialist,san francisco bay area,500+ ,
9,student at humber college and aspiring human resources generalist,kanada,61,
10,seeking human resources hris and generalist positions,greater philadelphia area,500+ ,
11,student at chapman university,lake forest california,2,
12,svp chro marketing & communications csr officer  engie  houston  the woodlands  energy  gphr  sphr,houston texas area,500+ ,
13,human resources coordinator at intercontinental buckhead atlanta,atlanta georgia,500+ ,
14,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
15,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
16,native english teacher at epik english program in korea,kanada,500+ ,
17,aspiring human resources professional,raleigh-durham north carolina area,44,
18,people development coordinator at ryan,denton texas,500+ ,
19,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
20,native english teacher at epik english program in korea,kanada,500+ ,
21,aspiring human resources professional,raleigh-durham north carolina area,44,
22,people development coordinator at ryan,denton texas,500+ ,
23,advisory board member at celal bayar university,i̇zmir türkiye,500+ ,
24,aspiring human resources specialist,greater new york city area,1,
25,student at humber college and aspiring human resources generalist,kanada,61,
26,hr senior specialist,san francisco bay area,500+ ,
27,aspiring human resources management student seeking an internship,houston texas area,500+ ,
28,seeking human resources opportunities,chicago illinois,390,
29,aspiring human resources management student seeking an internship,houston texas area,500+ ,
30,seeking human resources opportunities,chicago illinois,390,
31,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
32,native english teacher at epik english program in korea,kanada,500+ ,
33,aspiring human resources professional,raleigh-durham north carolina area,44,
34,people development coordinator at ryan,denton texas,500+ ,
35,advisory board member at celal bayar university,i̇zmir türkiye,500+ ,
36,aspiring human resources specialist,greater new york city area,1,
37,student at humber college and aspiring human resources generalist,kanada,61,
38,hr senior specialist,san francisco bay area,500+ ,
39,student at humber college and aspiring human resources generalist,kanada,61,
40,seeking human resources hris and generalist positions,greater philadelphia area,500+ ,
41,student at chapman university,lake forest california,2,
42,svp chro marketing & communications csr officer  engie  houston  the woodlands  energy  gphr  sphr,houston texas area,500+ ,
43,human resources coordinator at intercontinental buckhead atlanta,atlanta georgia,500+ ,
44,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
45,native english teacher at epik english program in korea,kanada,500+ ,
46,aspiring human resources professional,raleigh-durham north carolina area,44,
47,people development coordinator at ryan,denton texas,500+ ,
48,advisory board member at celal bayar university,i̇zmir türkiye,500+ ,
49,aspiring human resources specialist,greater new york city area,1,
50,student at humber college and aspiring human resources generalist,kanada,61,
51,hr senior specialist,san francisco bay area,500+ ,
52,student at humber college and aspiring human resources generalist,kanada,61,
53,seeking human resources hris and generalist positions,greater philadelphia area,500+ ,
54,student at chapman university,lake forest california,2,
55,svp chro marketing & communications csr officer  engie  houston  the woodlands  energy  gphr  sphr,houston texas area,500+ ,
56,human resources coordinator at intercontinental buckhead atlanta,atlanta georgia,500+ ,
57,2019 ct bauer college of business graduate magna cum laude and aspiring human resources professional,houston texas,85,
58,aspiring human resources professional,raleigh-durham north carolina area,44,
59,people development coordinator at ryan,denton texas,500+ ,
60,aspiring human resources specialist,greater new york city area,1,
61,hr senior specialist,san francisco bay area,500+ ,
62,seeking human resources hris and generalist positions,greater philadelphia area,500+ ,
63,student at chapman university,lake forest california,2,
64,svp chro marketing & communications csr officer  engie  houston  the woodlands  energy  gphr  sphr,houston texas area,500+ ,
65,human resources coordinator at intercontinental buckhead atlanta,atlanta georgia,500+ ,
66,experienced retail manager and aspiring human resources professional,austin texas area,57,
67,human resources staffing and recruiting professional,jackson mississippi area,500+ ,
68,human resources specialist at luxottica,greater new york city area,500+ ,
69,director of human resources north america groupe beneteau,greater grand rapids michigan area,500+ ,
70,retired army national guard recruiter office manager  seeking a position in human resources,virginia beach virginia,82,
71,human resources generalist at scottmadden inc,raleigh-durham north carolina area,500+ ,
72,business management major and aspiring human resources manager,monroe louisiana area,5,
73,aspiring human resources manager seeking internship in human resources,houston texas area,7,
74,human resources professional,greater boston area,16,
75,nortia staffing is seeking human resources payroll & administrative professionals  408 709-2621,san jose california,500+ ,
76,aspiring human resources professional  passionate about helping to create an inclusive and engaging work environment,new york new york,212,
77,"human resources
conflict management
policies & procedurestalent managementbenefits & compensation",dallas/fort worth area,409,
78,human resources generalist at schwan's,amerika birleşik devletleri,500+ ,
79,liberal arts major aspiring human resources analyst,baton rouge louisiana area,7,
80,junior mes engineer information systems,myrtle beach south carolina area,52,
81,senior human resources business partner at heil environmental,chattanooga tennessee area,455,
82,aspiring human resources professional  an energetic and team-focused leader,austin texas area,174,
83,hr manager at endemol shine north america,los angeles california,268,
84,human resources professional for the world leader in gis software,highland california,50,
85,rrp brand portfolio executive at jti japan tobacco international,greater philadelphia area,500+ ,
86,information systems specialist and programmer with a love for data and organization,gaithersburg maryland,4,
87,bachelor of science in biology from victoria university of wellington,baltimore maryland,40,
88,human resources management major,milpitas california,18,
89,director human resources  at ey,greater atlanta area,349,
90,undergraduate research assistant at styczynski lab,greater atlanta area,155,
91,lead official at western illinois university,greater chicago area,39,
92,seeking employment opportunities within customer service or patient care,torrance california,64,
93,admissions representative at community medical center long beach,long beach california,9,
94,seeking human  resources opportunities open to travel and relocation,amerika birleşik devletleri,415,
95,student at westfield state university,bridgewater massachusetts,57,
96,"student at indiana university kokomo - business management - 
retail manager at delphi hardware and paint",lafayette indiana,19,
97,aspiring human resources professional,kokomo indiana area,71,
98,student,houston texas area,4,
99,seeking human resources position,las vegas nevada area,48,
100,aspiring human resources manager  graduating may 2020  seeking an entry-level human resources position in st louis,cape girardeau missouri,103,
101,human resources generalist at loparex,raleigh-durham north carolina area,500+ ,
102,business intelligence and analytics at travelers,greater new york city area,49,
103,always set them up for success,greater los angeles area,500+ ,
104,director of administration at excellence logging,katy texas,500+ ,
